Mouse name,x,Reward Size,70,Licks per reward,3,Initial drop,70,Recording duration,11,Reward window,5,Track Length,1000
Time,Valve,Lick,LickCount,Reward,RewardCount,Distance,TotalDistance,RewardWindow,InitialDrop,InitialDropCount,ImagingTrigger,TTLpulse,TTLpulseCount,LapCount
3860,0,0,0,0,1,333,1333,1,0,0,0,0,0,1
3870,0,0,0,0,1,338,1338,1,0,0,0,0,0,1
3880,0,0,0,0,1,344,1344,1,0,0,0,0,0,1
3890,0,0,0,0,1,350,1350,1,0,0,0,0,0,1
3900,0,0,0,0,1,356,1356,1,0,0,0,0,0,1
3910,0,0,0,0,1,363,1363,1,0,0,0,0,0,1
3920,0,0,0,0,1,368,1368,1,0,0,0,0,0,1
3930,0,0,0,0,1,374,1374,1,0,0,0,0,0,1
3940,0,0,0,0,1,379,1379,1,0,0,0,0,0,1
3950,0,0,0,0,1,385,1385,1,0,0,0,0,0,1
3960,0,0,0,0,1,390,1390,1,0,0,0,0,0,1
3970,0,0,0,0,1,395,1395,1,0,0,0,0,0,1
3980,0,0,0,0,1,402,1402,1,0,0,0,0,0,1
3990,0,0,0,0,1,406,1406,1,0,0,0,0,0,1
4000,0,0,0,0,1,410,1410,1,0,0,0,0,0,1
4010,0,0,0,0,1,415,1415,1,0,0,0,0,0,1
4020,0,0,0,0,1,420,1420,1,0,0,0,0,0,1
4030,0,0,0,0,1,426,1426,1,0,0,0,0,0,1
4040,0,0,0,0,1,432,1432,1,0,0,0,0,0,1
4050,0,0,0,0,1,436,1436,1,0,0,0,0,0,1
4060,0,0,0,0,1,440,1440,1,0,0,0,0,0,1
4070,0,0,0,0,1,443,1443,1,0,0,0,0,0,1
4080,0,0,0,0,1,449,1449,1,0,0,0,0,0,1
4090,0,0,0,0,1,453,1453,1,0,0,0,0,0,1
4100,0,0,0,0,1,456,1456,1,0,0,0,0,0,1
4110,0,0,0,0,1,460,1460,1,0,0,0,0,0,1
4120,0,0,0,0,1,463,1463,1,0,0,0,0,0,1
4130,0,0,0,0,1,468,1468,1,0,0,0,0,0,1
4140,0,0,0,0,1,470,1470,1,0,0,0,0,0,1
4150,0,0,0,0,1,474,1474,1,0,0,0,0,0,1
4160,0,0,0,0,1,476,1476,1,0,0,0,0,0,1
4170,0,0,0,0,1,481,1481,1,0,0,0,0,0,1
4180,0,0,0,0,1,484,1484,1,0,0,0,0,0,1
4190,0,0,0,0,1,488,1488,1,0,0,0,0,0,1
4200,0,0,0,0,1,489,1489,1,0,0,0,0,0,1
4210,0,0,0,0,1,492,1492,1,0,0,0,0,0,1
4220,0,0,0,0,1,494,1494,1,0,0,0,0,0,1
4230,0,0,0,0,1,498,1498,1,0,0,0,0,0,1
4240,0,0,0,0,1,500,1500,1,0,0,0,0,0,1
4250,0,0,0,0,1,502,1502,1,0,0,0,0,0,1
4260,0,0,0,0,1,505,1505,1,0,0,0,0,0,1
4270,0,0,0,0,1,506,1506,1,0,0,0,0,0,1
4280,0,0,0,0,1,510,1510,1,0,0,0,0,0,1
4290,0,0,0,0,1,510,1510,1,0,0,0,0,0,1
4300,0,0,0,0,1,512,1512,1,0,0,0,0,0,1
4310,0,0,0,0,1,514,1514,1,0,0,0,0,0,1
4320,0,0,0,0,1,516,1516,1,0,0,0,0,0,1
4330,0,0,0,0,1,519,1519,1,0,0,0,0,0,1
4340,0,0,0,0,1,519,1519,1,0,0,0,0,0,1
